"1982-01-01";"1982-02-01";"1982-03-01";"1982-04-01";"1982-05-01";"1982-06-01";"1982-07-01";"1982-08-01";"1982-09-01";"1982-10-01";"1982-11-01";"1982-12-01";"1983-01-01";"1983-02-01";"1983-03-01";"1983-04-01";"1983-05-01";"1983-06-01";"1983-07-01";"1983-08-01";"1983-09-01";"1983-10-01";"1983-11-01";"1983-12-01";"1984-01-01";"1984-02-01";"1984-03-01";"1984-04-01";"1984-05-01";"1984-06-01";"1984-07-01";"1984-08-01";"1984-09-01";"1984-10-01";"1984-11-01";"1984-12-01";"1985-01-01";"1985-02-01";"1985-03-01";"1985-04-01";"1985-05-01";"1985-06-01";"1985-07-01";"1985-08-01";"1985-09-01";"1985-10-01";"1985-11-01";"1985-12-01";"1986-01-01";"1986-02-01";"1986-03-01";"1986-04-01";"1986-05-01";"1986-06-01";"1986-07-01";"1986-08-01";"1986-09-01";"1986-10-01";"1986-11-01";"1986-12-01";"1987-01-01";"1987-02-01";"1987-03-01";"1987-04-01";"1987-05-01";"1987-06-01";"1987-07-01";"1987-08-01";"1987-09-01";"1987-10-01";"1987-11-01";"1987-12-01";"1988-01-01";"1988-02-01";"1988-03-01";"1988-04-01";"1988-05-01";"1988-06-01";"1988-07-01";"1988-08-01";"1988-09-01";"1988-10-01";"1988-11-01";"1988-12-01";"1989-01-01";"1989-02-01";"1989-03-01";"1989-04-01";"1989-05-01";"1989-06-01";"1989-07-01";"1989-08-01";"1989-09-01";"1989-10-01";"1989-11-01";"1989-12-01";"1990-01-01";"1990-02-01";"1990-03-01";"1990-04-01";"1990-05-01";"1990-06-01";"1990-07-01";"1990-08-01";"1990-09-01";"1990-10-01";"1990-11-01";"1990-12-01";"1991-01-01";"1991-02-01";"1991-03-01";"1991-04-01";"1991-05-01";"1991-06-01";"1991-07-01";"1991-08-01";"1991-09-01";"1991-10-01";"1991-11-01";"1991-12-01";"1992-01-01";"1992-02-01";"1992-03-01";"1992-04-01";"1992-05-01";"1992-06-01";"1992-07-01";"1992-08-01";"1992-09-01";"1992-10-01";"1992-11-01";"1992-12-01";"1993-01-01";"1993-02-01";"1993-03-01";"1993-04-01";"1993-05-01";"1993-06-01";"1993-07-01";"1993-08-01";"1993-09-01";"1993-10-01";"1993-11-01";"1993-12-01";"1994-01-01";"1994-02-01";"1994-03-01";"1994-04-01";"1994-05-01";"1994-06-01";"1994-07-01";"1994-08-01";"1994-09-01";"1994-10-01";"1994-11-01";"1994-12-01";"1995-01-01";"1995-02-01";"1995-03-01";"1995-04-01";"1995-05-01";"1995-06-01";"1995-07-01";"1995-08-01";"1995-09-01";"1995-10-01";"1995-11-01";"1995-12-01";"1996-01-01";"1996-02-01";"1996-03-01";"1996-04-01";"1996-05-01";"1996-06-01";"1996-07-01";"1996-08-01";"1996-09-01";"1996-10-01";"1996-11-01";"1996-12-01";"1997-01-01";"1997-02-01";"1997-03-01";"1997-04-01";"1997-05-01";"1997-06-01";"1997-07-01";"1997-08-01";"1997-09-01";"1997-10-01";"1997-11-01";"1997-12-01";"1998-01-01";"1998-02-01";"1998-03-01";"1998-04-01";"1998-05-01";"1998-06-01";"1998-07-01";"1998-08-01";"1998-09-01";"1998-10-01";"1998-11-01";"1998-12-01";"1999-01-01";"1999-02-01";"1999-03-01";"1999-04-01";"1999-05-01";"1999-06-01";"1999-07-01";"1999-08-01";"1999-09-01";"1999-10-01";"1999-11-01";"1999-12-01";"2000-01-01";"2000-02-01";"2000-03-01";"2000-04-01";"2000-05-01";"2000-06-01";"2000-07-01";"2000-08-01";"2000-09-01";"2000-10-01";"2000-11-01";"2000-12-01";"2001-01-01";"2001-02-01";"2001-03-01";"2001-04-01";"2001-05-01";"2001-06-01";"2001-07-01";"2001-08-01";"2001-09-01";"2001-10-01";"2001-11-01";"2001-12-01";"2002-01-01";"2002-02-01";"2002-03-01";"2002-04-01";"2002-05-01";"2002-06-01";"2002-07-01";"2002-08-01";"2002-09-01";"2002-10-01";"2002-11-01";"2002-12-01";"2003-01-01";"2003-02-01";"2003-03-01";"2003-04-01";"2003-05-01";"2003-06-01";"2003-07-01";"2003-08-01";"2003-09-01";"2003-10-01";"2003-11-01";"2003-12-01";"2004-01-01";"2004-02-01";"2004-03-01";"2004-04-01";"2004-05-01";"2004-06-01";"2004-07-01";"2004-08-01";"2004-09-01";"2004-10-01";"2004-11-01";"2004-12-01";"2005-01-01";"2005-02-01";"2005-03-01";"2005-04-01";"2005-05-01";"2005-06-01";"2005-07-01";"2005-08-01";"2005-09-01";"2005-10-01";"2005-11-01";"2005-12-01";"2006-01-01";"2006-02-01";"2006-03-01";"2006-04-01";"2006-05-01";"2006-06-01";"2006-07-01";"2006-08-01";"2006-09-01";"2006-10-01";"2006-11-01";"2006-12-01";"2007-01-01";"2007-02-01";"2007-03-01";"2007-04-01";"2007-05-01";"2007-06-01";"2007-07-01";"2007-08-01";"2007-09-01";"2007-10-01";"2007-11-01";"2007-12-01";"2008-01-01";"2008-02-01";"2008-03-01";"2008-04-01";"2008-05-01";"2008-06-01";"2008-07-01";"2008-08-01";"2008-09-01";"2008-10-01";"2008-11-01";"2008-12-01";"2009-01-01";"2009-02-01";"2009-03-01";"2009-04-01";"2009-05-01";"2009-06-01";"2009-07-01";"2009-08-01";"2009-09-01";"2009-10-01";"2009-11-01";"2009-12-01";"2010-01-01";"2010-02-01";"2010-03-01";"2010-04-01";"2010-05-01";"2010-06-01";"2010-07-01";"2010-08-01";"2010-09-01";"2010-10-01";"2010-11-01";"2010-12-01";"2011-01-01";"2011-02-01";"2011-03-01";"2011-04-01";"2011-05-01";"2011-06-01";"2011-07-01";"2011-08-01";"2011-09-01";"2011-10-01";"2011-11-01";"2011-12-01";"2012-01-01";"2012-02-01";"2012-03-01";"2012-04-01";"2012-05-01";"2012-06-01";"2012-07-01";"2012-08-01";"2012-09-01";"2012-10-01";"2012-11-01";"2012-12-01";"2013-01-01";"2013-02-01";"2013-03-01";"2013-04-01";"2013-05-01";"2013-06-01";"2013-07-01";"2013-08-01";"2013-09-01";"2013-10-01";"2013-11-01";"2013-12-01";"2014-01-01";"2014-02-01";"2014-03-01";"2014-04-01";"2014-05-01";"2014-06-01";"2014-07-01";"2014-08-01";"2014-09-01";"2014-10-01";"2014-11-01";"2014-12-01";"2015-01-01";"2015-02-01";"2015-03-01";"2015-04-01";"2015-05-01";"2015-06-01";"2015-07-01";"2015-08-01";"2015-09-01";"2015-10-01";"2015-11-01";"2015-12-01"
"Area_1";0.2109;0.1796;0.2513;0.2971;0.288;0.2862;0.2572;0.2749;0.2645;0.2427;0.2055;0.2182;0.1887;0.1937;0.2599;0.3007;0.3012;0.2626;0.2672;0.2626;0.2989;0.2654;0.2862;0.2626;0.2381;0.24;0.2481;0.269;0.3153;0.2826;0.2799;0.2631;0.259;0.2078;0.2481;0.259;0.2304;0.2064;0.1819;0.2613;0.2989;0.2803;0.2599;0.244;0.2468;0.3121;0.3134;0.2409;0.1887;0.1724;0.2522;0.3035;0.2894;0.2626;0.2608;0.2454;0.2454;0.2372;0.284;0.2391;0.1842;0.1674;0.1778;0.284;0.3212;0.2758;0.2722;0.2763;0.3039;0.2744;0.215;0.1946;0.2155;0.1851;0.2168;0.2849;0.3039;0.2744;0.2531;0.264;0.2599;0.2259;0.1751;0.2159;0.171;0.1624;0.1928;0.2554;0.3216;0.2912;0.2794;0.2785;0.2685;0.2295;0.22;0.1814;0.1964;0.1751;0.2481;0.2885;0.3071;0.2826;0.3085;0.313;0.2808;0.2236;0.2318;0.2236;0.1896;0.1851;0.2431;0.3107;0.3266;0.3007;0.2763;0.288;0.2694;0.2264;0.2023;0.2032;0.186;0.1728;0.2032;0.2658;0.3311;0.288;0.2722;0.2753;0.2849;0.3134;0.303;0.2495;0.1846;0.1801;0.2549;0.3674;0.401;0.2835;0.279;0.3125;0.308;0.2549;0.2359;0.225;0.2264;0.2141;0.2236;0.2599;0.2939;0.2581;0.2554;0.2676;0.269;0.2236;0.2277;0.196;0.186;0.2118;0.2422;0.2676;0.2908;0.2704;0.2722;0.2558;0.2694;0.2422;0.2318;0.2304;0.186;0.1951;0.244;0.2835;0.2794;0.2672;0.2658;0.2599;0.2853;0.2404;0.2363;0.24;0.1647;0.166;0.2096;0.2917;0.3579;0.2939;0.3116;0.3203;0.3212;0.2849;0.2577;0.2159;0.1855;0.1783;0.2313;0.3071;0.3379;0.2831;0.2817;0.2862;0.284;0.2409;0.2155;0.2;0.2105;0.2114;0.2286;0.2604;0.2781;0.2731;0.2885;0.2776;0.2935;0.2381;0.2164;0.2;0.2132;0.2214;0.2545;0.2894;0.3697;0.328;0.3048;0.2953;0.3085;0.2608;0.2445;0.1728;0.191;0.2481;0.2713;0.3044;0.3375;0.3071;0.2704;0.2617;0.2862;0.2581;0.2381;0.2381;0.1651;0.2227;0.3017;0.313;0.3447;0.3121;0.2694;0.2763;0.2722;0.2313;0.2218;0.2318;0.1792;0.2332;0.2341;0.2735;0.3103;0.3039;0.2753;0.2658;0.2645;0.2273;0.2087;0.1887;0.1982;0.2109;0.2259;0.2953;0.3121;0.2867;0.2518;0.2835;0.2699;0.2259;0.2241;0.1678;0.2191;0.215;0.2159;0.2345;0.3107;0.2826;0.2604;0.2758;0.2527;0.2381;0.2409;0.191;0.1752;NA;0.2401;0.3481;0.3744;0.2914;0.3089;0.2813;0.3015;0.238;0.2569;0.1327;0.2482;0.2178;0.2684;0.3015;0.3481;0.3413;0.2509;0.2718;0.3184;0.3002;0.2704;0.1253;0.1496;0.1496;0.2914;0.3245;0.3035;0.3305;0.3555;0.2779;0.2995;0.232;0.2347;0.1563;NA;NA;0.1953;0.2532;0.3104;0.3529;0.2202;0.2649;0.3463;0.2994;0.2041;0.2085;0.1059;0.0941;0.1894;0.3265;0.2935;0.2774;0.1953;0.1814;0.2217;0.1806;0.1682;0.1543;0.1132;NA;0.1806;0.2657;0.3236;0.2649;0.2693;0.3353;0.2811;0.3052;0.2642;0.1176;0.0517;0.1167;0.1779;0.3721;0.4003;0.276;0.2196;0.1983;0.2274;0.1575;0.1439;0.1391;0.1022;0.1031;0.1692;0.2682;0.3546;0.207;0.1876;0.2828;0.2362;0.3537;0.3672;0.1983;0.0992;0.1051;0.2507;0.4634;0.4847;0.3449;0.207;0.1711;0.1993;0.1332;0.14;0.072;0.0847;0.1109;0.1546;0.2206;0.2692;0.2498;0.3012;0.341;0.3197;0.1954;0.1779;0.1206
"Area_2";0.2004;0.3968;0.4463;0.4422;0.3523;0.3515;0.4111;0.4178;0.3456;0.3565;0.2323;0.2458;0.1652;0.3255;0.3758;0.4044;0.2332;0.1711;0.3339;0.3842;0.3952;0.3448;0.2122;0.2399;0.2718;0.2508;0.286;NA;0.2617;0.2609;0.4094;0.4304;0.3649;0.4002;0.276;0.1895;0.2676;0.2718;0.2709;0.4136;0.3574;0.3717;0.4564;0.4581;0.427;0.4405;0.2382;0.1904;0.2525;0.3775;0.417;NA;0.2491;0.4228;0.4522;0.4631;0.3624;0.3591;0.2508;0.1811;0.1702;0.3708;0.4161;0.4556;0.3003;0.3717;0.4657;0.4589;0.3297;0.2953;0.2155;0.1425;0.229;0.2214;NA;0.4564;0.396;0.4338;0.485;0.474;0.4388;0.3943;0.2223;0.1786;0.182;0.3565;NA;0.3859;0.4371;0.3952;0.3868;0.3456;0.2819;0.2978;0.2458;0.2046;0.2063;0.2802;0.2726;0.3834;0.3582;0.302;0.3549;0.4178;0.3901;NA;NA;0.2307;0.182;0.2516;0.2491;NA;0.3012;0.2844;0.3792;0.4396;0.3842;NA;0.2584;0.1996;0.1996;0.3482;NA;NA;0.1837;0.3616;0.4472;0.443;0.3977;0.4195;0.2483;0.2265;0.213;0.3616;0.422;0.4145;0.2609;0.3507;0.3473;0.4245;0.375;NA;0.213;0.1803;0.2021;NA;0.4128;NA;0.1341;0.2684;0.3943;0.3809;0.3616;0.302;0.2105;0.2676;0.2139;0.3591;0.4556;0.3918;0.2827;0.2894;0.4312;0.4354;0.3935;0.4178;0.2567;0.2676;0.2894;0.4119;0.4715;0.4388;0.3599;0.3523;0.4002;0.4262;0.4077;0.4245;0.2088;0.1996;0.2617;0.417;0.4279;NA;0.3993;0.4262;0.3112;0.3381;0.2936;0.4262;0.234;0.1879;0.3347;0.2558;0.4539;0.4539;0.3003;0.354;0.3465;0.3322;0.3767;0.3238;0.3028;0.3725;NA;0.1602;0.1845;0.4522;0.1409;0.1316;0.3893;0.4606;0.4136;0.396;0.3691;0.2592;0.2542;0.2852;0.4077;0.469;0.3347;0.307;0.4279;0.4463;0.4203;0.2902;0.2735;NA;NA;0.3977;0.4312;0.3591;0.2349;0.2726;0.4044;0.4522;0.3775;0.203;0.2223;0.3238;0.3708;0.4228;0.4254;0.4061;0.3297;0.2735;0.3582;0.4212;0.3859;0.3817;0.2004;0.3045;0.3456;0.417;0.4405;0.4044;0.2986;0.4002;0.3649;0.4304;0.3045;0.3087;0.187;0.3163;NA;0.4732;0.4791;0.4724;0.37;0.3792;0.354;0.2651;0.2021;0.3935;0.4329;0.3633;0.4161;0.469;0.5706;0.4061;0.3817;0.3549;0.4791;0.4606;0.4069;0.354;0.3062;0.2936;0.3011;0.3965;0.3941;0.4766;0.3723;0.3447;0.3682;0.4454;0.4059;0.3629;0.3382;0.3181;NA;0.3588;0.4625;0.4383;0.3647;0.3382;0.4183;0.4195;0.3623;0.3311;0.2745;0.2781;0.3075;0.3653;0.4165;0.3582;0.2109;0.1909;0.3617;0.4383;0.2781;0.3028;0.2592;0.2745;0.3943;0.4413;0.3949;0.3827;0.2004;0.3258;0.2666;0.3606;0.3241;0.291;0.277;0.2625;0.3571;0.4001;0.4698;0.3798;0.3937;0.3165;0.4053;0.4884;0.3496;0.331;0.3653;0.396;0.3566;0.4483;0.468;0.4837;0.3577;0.3914;0.4518;0.4402;0.3879;0.3595;0.3136;0.3241;0.2688;0.2861;0.2688;0.2776;0.2799;0.2757;0.3598;0.3455;0.3181;0.2645;0.2398;0.2421;0.2688;0.2657;0.2518;0.2391;0.2394;0.2784;0.3405;0.3536;0.3258;0.2753;0.2371;0.2229;0.2286;0.2394;0.2456;0.2456;0.2252;0.2529;0.2614;0.1974;0.1897;0.2402;0.2298;0.2749;0.3243;0.3297;0.3085;0.3262;0.337;0.2745;0.2661;0.1677;0.2175;0.273;0.2595;0.2664
"Area_3";0.495900005102158;0.592899978160858;0.668699979782104;0.508599996566772;0.327300012111664;0.330700010061264;0.333200007677078;0.392199993133545;0.466399997472763;0.409900009632111;0.554899990558624;0.546500027179718;0.338299989700317;0.555800020694733;0.645099997520447;0.479099988937378;0.378699988126755;0.373699992895126;0.417499989271164;0.463899999856949;0.507700026035309;0.45210000872612;0.394800007343292;0.478199988603592;NA;0.462199985980988;0.558300018310547;0.550700008869171;0.361000001430511;0.312200009822845;0.385500013828278;0.441100001335144;0.461400002241135;NA;NA;NA;0.468899995088577;NA;0.57940000295639;0.533800005912781;0.332399994134903;0.312999993562698;0.329899996519089;0.421700000762939;0.430999994277954;0.426800012588501;0.384600013494492;0.446200013160706;0.463899999856949;0.624899983406067;0.626600027084351;0.564999997615814;0.360199987888336;0.307099997997284;0.379599988460541;0.426800012588501;0.485000014305115;NA;0.457100003957748;NA;0.511099994182587;0.534699976444244;0.581099987030029;0.538900017738342;0.385500013828278;0.360199987888336;0.360199987888336;0.44530001282692;0.446200013160706;0.442799985408783;0.391400009393692;0.377900004386902;0.495099991559982;0.57260000705719;0.57940000295639;0.482400000095367;0.357699990272522;0.295300006866455;0.350100010633469;0.467299997806549;0.467299997806549;NA;0.439399987459183;0.526300013065338;0.529600024223328;0.617299973964691;0.683099985122681;0.601300001144409;0.371199995279312;0.31470000743866;0.358500003814697;0.43860000371933;0.492500007152557;0.490000009536743;0.44870001077652;0.522000014781952;0.555800020694733;0.610599994659424;0.655200004577637;0.495099991559982;0.356000006198883;0.350899994373322;0.326499998569489;0.479900002479553;0.462999999523163;0.42849999666214;0.543099999427795;0.479099988937378;0.513599991798401;0.607999980449677;0.581099987030029;0.500999987125397;0.382999986410141;0.353500008583069;0.375400006771088;0.468100011348724;0.488299995660782;0.492500007152557;0.468100011348724;0.421700000762939;NA;0.595700025558472;0.635800004005432;0.538800001144409;0.358200013637543;0.340700000524521;0.393299996852875;0.498699992895126;0.507300019264221;0.486600011587143;0.415499985218048;0.392399996519089;0.484200000762939;0.560800015926361;0.587300002574921;0.520699977874756;0.366899996995926;0.353899985551834;0.417800009250641;0.499099999666214;0.505800008773804;0.451599985361099;0.425500005483627;0.417800009250641;0.467700004577637;0.593699991703033;0.611800014972687;0.513000011444092;0.40650001168251;0.400499999523163;0.385600000619888;0.531199991703033;0.530200004577637;0.519500017166138;0.496100008487701;0.424800008535385;0.485799998044968;0.601300001144409;0.650200009346008;0.570900022983551;0.361000001430511;0.341699987649918;0.404900014400482;0.513599991798401;0.508599996566772;0.485799998044968;0.41499999165535;0.409099996089935;0.492500007152557;0.575200021266937;0.602999985218048;0.526300013065338;0.371199995279312;0.352600008249283;0.402300000190735;0.507700026035309;0.511099994182587;0.45210000872612;0.456299990415573;0.432700008153915;0.494199991226196;0.588599979877472;0.622399985790253;0.512799978256226;0.425999999046326;0.419200003147125;0.366899996995926;0.540600001811981;0.530499994754791;0.511900007724762;0.507700026035309;0.404000014066696;0.495900005102158;0.623199999332428;0.598800003528595;0.472299993038177;0.410800009965897;0.381300002336502;0.43520000576973;0.489199995994568;0.54229998588562;0.498400002717972;0.477400004863739;0.375400006771088;0.511900007724762;0.602100014686584;0.578499972820282;0.512799978256226;0.390500009059906;0.369500011205673;0.372000008821487;0.504299998283386;0.508599996566772;0.499300003051758;0.415800005197525;0.391400009393692;0.556800007820129;0.574000000953674;0.626200020313263;0.490299999713898;0.366899996995926;0.356400012969971;0.449099987745285;0.462599992752075;0.425000011920929;0.355300009250641;0.36370000243187;0.443800002336502;0.581099987030029;0.575999975204468;0.604700028896332;0.462999999523163;0.398999989032745;0.385500013828278;0.45210000872612;0.43860000371933;0.434399992227554;0.336600005626678;0.387199997901917;0.449600011110306;0.491699993610382;0.539799988269806;0.601300001144409;0.460500001907349;0.382999986410141;0.361900001764297;0.358500003814697;0.373699992895126;0.400700002908707;0.38629999756813;0.408300012350082;0.484100013971329;0.556599974632263;0.590300023555756;0.538100004196167;0.444499999284744;0.451200008392334;0.354299992322922;0.383799999952316;0.485799998044968;0.548200011253357;0.416700005531311;0.374500006437302;0.464700013399124;0.513599991798401;0.646000027656555;0.621500015258789;0.459699988365173;0.382099986076355;0.324000000953674;0.335799992084503;0.436899989843369;0.529600024223328;0.577700018882751;0.30460000038147;0.560000002384186;0.540600001811981;0.593699991703033;0.644299983978271;0.536400020122528;0.417499989271164;0.348399996757507;0.381300002336502;0.477400004863739;0.516099989414215;0.522899985313416;0.413300007581711;0.467299997806549;0.446000009775162;0.388399988412857;0.528999984264374;0.582000017166138;0.396100014448166;0.386900007724762;0.379200011491776;0.506699979305267;0.53439998626709;0.532800018787384;0.509800016880035;0.512899994850159;0.561299979686737;0.631900012493134;0.681100010871887;0.537500023841858;0.429100006818771;0.388399988412857;0.421499997377396;0.472900003194809;0.483700007200241;0.483700007200241;0.429899990558624;0.532800018787384;0.470600008964539;0.520600020885468;0.49669998884201;0.515200018882751;0.398400008678436;0.36149999499321;0.408399999141693;0.513599991798401;0.517499983310699;0.448300004005432;0.470600008964539;0.541299998760223;0.520099997520447;0.567799985408783;0.550899982452393;0.496199995279312;0.417699992656708;0.303299993276596;0.394800007343292;0.458499997854233;0.597699999809265;0.410699993371964;0.331200003623962;0.479299992322922;0.597699999809265;0.563899993896484;0.688099980354309;0.462399989366531;0.353100001811981;0.371899992227554;0.36599999666214;0.500199973583221;0.586700022220612;0.420700013637543;0.558899998664856;0.443500012159348;0.509199976921082;0.561900019645691;0.571799993515015;0.507200002670288;0.486299991607666;0.377900004386902;0.385899990797043;0.551900029182434;0.571799993515015;0.508199989795685;0.45550000667572;0.509199976921082;0.433400005102158;0.560400009155273;0.527400016784668;0.467400014400482;0.466399997472763;0.365399986505508;0.452399998903275;0.52240002155304;0.619400024414062;0.577400028705597;0.447400003671646;0.496399998664856;0.456400007009506;0.533399999141693;0.642400026321411;0.433400005102158;0.465400010347366;0.426400005817413;0.402399986982346;0.479400008916855;0.546400010585785;0.340400010347366;0.390399992465973;0.442400008440018;0.471399992704391;0.598399996757507;0.54339998960495;0.486400008201599;0.453399986028671;0.365399986505508;0.464399993419647;0.50739997625351;0.574400007724762;0.462399989366531;0.428400009870529;0.371399998664856;0.508400022983551;0.420399993658066;0.546400010585785;0.43639999628067;0.416399985551834;0.416399985551834;0.43639999628067;0.530399978160858;0.554400026798248;0.518400013446808;0.390399992465973;0.511399984359741
"Area_4";0.165999993681908;0.167400002479553;0.171100005507469;0.181799992918968;0.182899996638298;0.1824000030756;0.160600006580353;0.157499998807907;0.158899992704391;0.19709999859333;0.186599999666214;0.174999997019768;0.171399995684624;0.171100005507469;0.167099997401237;0.183200001716614;0.19030000269413;0.182099997997284;0.171599999070168;0.159500002861023;0.169100001454353;0.194000005722046;0.18520000576973;0.176699995994568;0.173299998044968;0.171900004148483;0.173899993300438;0.163499996066093;0.17960000038147;0.176699995994568;0.155300006270409;0.158899992704391;0.18350000679493;0.19990000128746;0.180399999022484;0.17790000140667;0.171399995684624;0.171900004148483;0.167400002479553;0.172499999403954;0.180399999022484;0.179000005125999;0.167699992656708;0.158899992704391;0.161500006914139;0.173099994659424;0.171100005507469;0.168300002813339;0.168500006198883;0.163200005888939;0.169699996709824;0.164000004529953;0.196199998259544;0.184400007128716;0.168799996376038;0.165700003504753;0.157800003886223;0.174500003457069;0.179000005125999;0.172800004482269;0.170000001788139;0.164900004863739;0.162000000476837;0.162000000476837;0.197300001978874;0.204999998211861;0.183200001716614;0.173899993300438;0.163699999451637;0.177599996328354;0.20720000565052;0.180399999022484;0.171100005507469;0.168799996376038;0.170000001788139;0.168799996376038;0.201299995183945;0.176699995994568;0.164599999785423;0.163499996066093;0.178700000047684;0.181199997663498;0.175600007176399;0.172800004482269;0.169699996709824;0.172199994325638;0.169400006532669;0.166299998760223;0.187700003385544;0.169100001454353;0.160099998116493;0.164599999785423;0.164000004529953;0.180099993944168;0.19140000641346;0.168799996376038;0.171900004148483;0.170800000429153;0.168799996376038;0.18690000474453;0.19879999756813;0.174799993634224;0.162000000476837;0.158399999141693;0.159500002861023;0.170000001788139;0.166800007224083;0.170200005173683;0.169699996709824;0.168799996376038;0.161799997091293;0.181500002741814;0.173600003123283;0.175600007176399;0.169100001454353;0.157000005245209;0.158399999141693;0.162000000476837;0.171900004148483;0.179000005125999;0.174199998378754;0.167400002479553;0.165199995040894;0.17620000243187;0.17620000243187;0.175899997353554;0.170000001788139;0.159199997782707;0.164900004863739;0.19709999859333;0.19539999961853;0.17960000038147;0.169400006532669;0.170499995350838;0.168300002813339;0.162900000810623;0.195099994540215;0.184599995613098;0.161200001835823;0.157199993729591;0.160099998116493;0.1807000041008;0.210099995136261;0.180999994277954;0.181500002741814;0.171399995684624;0.169100001454353;0.170499995350838;0.20160000026226;0.1875;0.148499995470047;0.160600006580353;0.162300005555153;0.180399999022484;0.180999994277954;0.189400002360344;0.175300002098083;0.171599999070168;0.167999997735023;0.175600007176399;0.1824000030756;0.183200001716614;0.163499996066093;0.160600006580353;0.160400003194809;0.172800004482269;0.1908999979496;0.170800000429153;0.169400006532669;0.172499999403954;0.165199995040894;0.186599999666214;0.194000005722046;0.175899997353554;0.169400006532669;0.169100001454353;0.165999993681908;0.172199994325638;0.174500003457069;0.176400005817413;0.172199994325638;0.173600003123283;0.172199994325638;0.19480000436306;0.19930000603199;0.176400005817413;0.164599999785423;0.165999993681908;0.165700003504753;0.198500007390976;0.232899993658066;0.223000004887581;0.189400002360344;0.1875;0.179000005125999;0.182899996638298;0.18350000679493;0.175600007176399;0.159500002861023;0.163200005888939;0.163699999451637;0.189999997615814;0.177000001072884;0.178399994969368;0.173299998044968;0.169699996709824;0.171599999070168;0.170499995350838;0.18860000371933;0.17620000243187;0.162000000476837;0.162900000810623;0.168300002813339;0.173600003123283;0.184900000691414;0.168799996376038;0.168799996376038;0.172800004482269;0.174500003457069;0.167999997735023;0.19930000603199;0.191100001335144;0.167999997735023;0.162900000810623;0.157000005245209;0.200699999928474;0.228400006890297;0.19990000128746;0.184599995613098;0.179000005125999;0.174799993634224;0.171100005507469;0.19140000641346;0.174999997019768;0.164299994707108;0.165199995040894;0.162000000476837;0.1824000030756;0.208100005984306;0.180999994277954;0.1824000030756;0.17790000140667;0.170200005173683;0.175300002098083;0.175600007176399;0.166299998760223;0.161799997091293;0.156700000166893;0.158399999141693;0.181199997663498;0.192300006747246;0.170499995350838;0.178700000047684;0.176400005817413;0.165199995040894;0.171900004148483;0.195700004696846;0.175600007176399;0.165999993681908;0.155599996447563;0.162900000810623;0.158899992704391;0.157499998807907;0.167099997401237;0.162599995732307;0.163699999451637;0.187199994921684;0.173899993300438;0.177300006151199;0.155000001192093;0.138899996876717;0.140300005674362;0.154400005936623;0.168500006198883;0.170800000429153;0.165700003504753;0.172800004482269;0.160600006580353;0.164599999785423;0.152999997138977;0.186100006103516;0.203799992799759;0.154400005936623;0.145400002598763;0.140300005674362;0.214900001883507;0.217999994754791;0.186599999666214;0.181799992918968;0.18019999563694;0.18019999563694;0.179199993610382;0.207599997520447;0.162000000476837;0.170300006866455;0.149000003933907;0.145099997520447;0.179399996995926;0.203400000929832;0.179399996995926;0.18129999935627;0.173199996352196;0.174199998378754;0.174799993634224;0.176100000739098;0.173500001430511;0.151099994778633;0.144600003957748;0.174799993634224;0.202299997210503;0.187000006437302;0.184400007128716;0.175300002098083;0.175799995660782;0.182300001382828;0.160400003194809;0.167199999094009;0.150299996137619;0.143800005316734;0.150299996137619;0.151899993419647;0.18860000371933;0.180000007152557;0.180500000715256;0.178299993276596;0.178299993276596;0.17620000243187;0.166999995708466;0.174700006842613;0.156399995088577;0.131300002336502;0.144199997186661;0.153899997472763;0.182300001382828;0.18350000679493;0.171299993991852;0.185699999332428;0.16889999806881;0.182300001382828;0.174999997019768;0.213100001215935;0.205200001597404;0.17679999768734;0.160300001502037;0.152999997138977;0.18350000679493;0.188999995589256;0.180800005793571;0.17679999768734;0.185000002384186;0.18019999563694;0.166700005531311;0.182600006461143;0.170399993658066;0.144199997186661;0.151199996471405;0.143500000238419;0.187199994921684;0.195999994874001;0.182300001382828;0.18129999935627;0.180600002408028;0.177000001072884;0.184900000691414;0.195299997925758;0.179100006818771;0.146899998188019;0.148300006985664;0.141499996185303;0.189500004053116;0.209999993443489;0.183799996972084;0.179800003767014;0.175500005483627;0.171599999070168;0.207399994134903;0.246199995279312;0.169799998402596;0.145099997520447;0.142599999904633;0.165500000119209;0.192399993538857;0.219600006937981;0.222100004553795;0.191699996590614;0.179499998688698;0.169400006532669;0.165500000119209;0.186700001358986;0.177699998021126;0.142199993133545;0.142199993133545;0.141800001263618;0.219600006937981;0.222900003194809;0.204600006341934;0.193800002336502;0.188800007104874;0.189899995923042;0.184900000691414;0.193499997258186;0.167699992656708;0.150099992752075;0.142599999904633;0.145099997520447;0.1841000020504;0.216800004243851;0.217500001192093
