"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Area_1";248.671325683594;494.13818359375;396.710327148438;412.656433105469;411.743774414062;403.2041015625;384.530059814453;453.365203857422;534.962951660156;466.709167480469;479.313140869141;500.661590576172;437.003753662109;440.918518066406;443.365173339844;448.654327392578;371.641296386719;415.240386962891;521.185974121094;618.938049316406;589.32958984375;507.683990478516;522.465270996094;451.067718505859;500.946929931641;470.27978515625;518.847595214844;487.130096435547;554.972717285156;530.114379882812;442.302001953125;496.198303222656;409.703277587891;453.657073974609
"Area_2";204.033706665039;304.489318847656;122.527786254883;158.473861694336;231.169967651367;173.99690246582;164.736953735352;109.923736572266;110.491928100586;166.828506469727;242.74821472168;257.319122314453;168.953414916992;271.890441894531;192.266754150391;246.801223754883;388.381317138672;144.321365356445;143.710174560547;176.7861328125;156.263122558594;134.900848388672;124.194709777832;243.979782104492;208.846237182617;93.5744247436523;134.055084228516;115.17569732666;199.588409423828;245.207153320312;58.0572967529297;108.426864624023;NA;131.687347412109
"Area_3";NA;256.064086914062;323.074493408203;253.78190612793;276.786560058594;278.448944091797;173.004852294922;342.889251708984;301.667358398438;250.390869140625;205.438415527344;331.474578857422;233.075347900391;289.316589355469;338.766448974609;274.583984375;358.095123291016;220.553070068359;254.219;278.780212402344;50.9477157592773;110.062950134277;220.903335571289;236.371002197266;278.599548339844;285.652069091797;366.456909179688;366.77197265625;242.142196655273;360.211334228516;422.485107421875;480.712;89.5235290527344;353.521820068359
"Area_4";NA;214.983291625977;302.147399902344;177.4638671875;225.664764404297;274.520355224609;290.006958007812;271.088958740234;312.123382568359;355.7001953125;218.970703125;259.417022705078;356.366485595703;355.386169433594;311.525024414062;204.153747558594;351.552001953125;369.512512207031;250.979080200195;376.768218994141;442.192932128906;342.360565185547;187.445510864258;297.641235351562;320.385528564453;347.833770751953;333.166137695312;291.994110107422;401.698333740234;369.227142333984;338.599395751953;445.973480224609;434.824737548828;390.617919921875
"Area_5";209.761978149414;238.616104125977;326.087066650391;223.097702026367;268.768249511719;248.224746704102;301.202575683594;245.037384033203;304.739044189453;278.526550292969;396.726867675781;260.796417236328;196.716003417969;300.338165283203;263.440124511719;280.948852539062;274.159301757812;367.435272216797;191.128967285156;187.812271118164;188.75505065918;288.194519042969;241.138046264648;273.097747802734;179.024124145508;172.199066162109;248.258804321289;222.285018920898;143.941299438477;257.872802734375;208.47135925293;233.855743408203;254.444152832031;247.867828369141
"Area_6";398.102;373.530090332031;470.942962646484;324.327911376953;438.892364501953;476.850769042969;428.405303955078;546.278503417969;455.900573730469;469.353210449219;561.107177734375;567.472717285156;472.142669677734;680.057189941406;437.110198974609;471.197692871094;410.484588623047;512.495788574219;596.973815917969;481.061462402344;487.113708496094;517.498840332031;659.563171386719;453.820037841797;506.217315673828;512.006958007812;533.969604492188;669.5380859375;626.006622314453;736.851867675781;546.715148925781;676.303100585938;628.182006835938;660.366088867188
