"lat";"lon"
"Area_1";48.5416666666667;51.0416666666667
"Area_2";35.9583333333333;-119.875
"Area_3";30.875;73.4583333333333
"Area_4";7.79166666666667;48.125
"Area_5";-31.625;118.125
"Area_6";13.375;3.45833333333331
